policy_id,customer_id,policy_number,product_type,start_date,end_date,premium_amount,status
72,5140,POL-00000072,Health,2026-01-23,2029-12-05,102.04,Cancelled
73,3115,POL-00000073,Life,2026-01-16,,246.23,Cancelled
74,8822,POL-00000074,Home,2023-04-06,2024-08-26,476.99,Lapsed
75,5144,POL-00000075,Auto,2024-10-07,2027-06-14,278.21,Cancelled
76,6692,POL-00000076,Life,2026-02-21,2028-10-18,299.49,Active
77,6889,POL-00000077,Health,2025-04-11,2027-04-02,326.98,Lapsed
78,6654,POL-00000078,Auto,2024-06-20,2026-08-24,243.45,Cancelled
79,9940,POL-00000079,Life,2023-03-23,2026-09-13,354.03,Cancelled
80,7753,POL-00000080,Home,2023-07-30,2026-03-02,281.95,Cancelled
81,5492,POL-00000081,Auto,2024-08-28,2026-12-22,352.76,Active
82,3263,POL-00000082,Home,2023-04-04,,160.18,Lapsed
83,1194,POL-00000083,Health,2024-04-29,2028-11-08,309.05,Cancelled
84,6292,POL-00000084,Health,2025-07-21,2027-05-19,345.23,Active
85,1747,POL-00000085,Health,2024-12-13,2029-11-07,283.08,Active
86,9133,POL-00000086,Home,2026-02-10,2027-10-16,255.41,Lapsed
87,8703,POL-00000087,Life,2024-05-18,2027-11-10,325.69,Cancelled
88,8271,POL-00000088,Health,2025-09-12,2029-10-08,250.66,Active
89,7778,POL-00000089,Health,2024-07-24,2026-12-12,427.94,Lapsed
90,8541,POL-00000090,Health,2023-04-24,2025-11-06,247.94,Cancelled
91,4682,POL-00000091,Home,2025-01-01,2027-10-17,451.86,Active
92,2268,POL-00000092,Home,2024-01-08,2028-11-28,118.76,Active
93,1053,POL-00000093,Health,2024-02-19,2028-03-05,259.67,Active
94,3389,POL-00000094,Health,2025-12-31,2030-04-10,475.73,Active
95,9433,POL-00000095,Health,2024-06-25,2027-06-15,184.38,Lapsed
96,6866,POL-00000096,Home,2023-06-28,2026-01-06,246.13,Active
97,6372,POL-00000097,Life,2023-06-18,2026-09-23,375.88,Lapsed
98,2092,POL-00000098,Auto,2026-02-24,2030-06-20,303.98,Active
99,1376,POL-00000099,Health,2025-10-07,,257.76,Active
100,4263,POL-00000100,Health,2026-01-05,2029-07-24,197.08,Lapsed
101,4559,POL-00000101,Health,2024-11-25,2026-05-11,261.64,Cancelled
102,8838,POL-00000102,Auto,2025-01-10,2027-12-27,150.9,Active
103,660,POL-00000103,Auto,2023-08-28,2025-10-09,427.65,Cancelled
104,2497,POL-00000104,Home,2023-07-17,,351.26,Cancelled
105,3572,POL-00000105,Health,2025-11-22,2028-12-16,125.51,Cancelled
106,1877,POL-00000106,Home,2025-04-08,2026-11-15,310.41,Lapsed
107,9434,POL-00000107,Health,2025-04-03,2027-05-14,84.2,Cancelled
108,3979,POL-00000108,Auto,2023-12-22,2026-08-30,432.63,Cancelled
109,1984,POL-00000109,Auto,2024-10-21,2028-03-16,347.68,Active
110,8290,POL-00000110,Life,2025-11-18,,239.03,Lapsed
111,1730,POL-00000111,Health,2025-08-18,2030-03-11,451.21,Lapsed
112,2507,POL-00000112,Health,2025-08-14,,284.79,Cancelled
113,4426,POL-00000113,Health,2025-09-24,2030-01-19,170.78,Active
114,1420,POL-00000114,Life,2023-09-19,2026-01-30,387.71,Cancelled
115,10000,POL-00000115,Health,2025-11-03,2029-08-11,432.93,Active
116,7989,POL-00000116,Home,2025-11-26,2028-05-08,203.15,Cancelled
117,4527,POL-00000117,Auto,2025-05-22,2027-06-17,88.53,Cancelled
118,6659,POL-00000118,Health,2026-02-06,2028-06-12,360.77,Cancelled
119,8042,POL-00000119,Health,2024-08-23,2026-03-01,182.41,Lapsed
120,3987,POL-00000120,Life,2026-03-09,2029-04-02,262.97,Cancelled
121,5633,POL-00000121,Health,2024-11-17,2028-12-18,198.86,Cancelled
122,7435,POL-00000122,Life,2023-08-04,2025-11-18,104.3,Active
123,5170,POL-00000123,Auto,2023-11-04,2028-09-16,133.32,Active
124,7934,POL-00000124,Life,2025-10-02,2029-09-10,318.56,Active
125,3181,POL-00000125,Life,2025-07-12,2027-07-14,186.02,Cancelled
126,8752,POL-00000126,Home,2025-10-03,2027-01-22,299.01,Cancelled
127,2069,POL-00000127,Health,2026-01-10,,55.52,Lapsed
128,7691,POL-00000128,Health,2024-07-20,2026-08-01,484.47,Lapsed
129,7828,POL-00000129,Auto,2023-11-26,2027-02-23,271.29,Cancelled
130,879,POL-00000130,Home,2026-02-09,,303.28,Lapsed
131,1396,POL-00000131,Home,2026-01-08,,394.0,Cancelled
132,9767,POL-00000132,Home,2023-04-11,2026-05-29,252.73,Lapsed
133,4872,POL-00000133,Health,2023-11-20,2028-05-13,77.1,Cancelled
134,1626,POL-00000134,Home,2025-12-10,2028-06-03,347.19,Active
135,3930,POL-00000135,Home,2024-06-03,2026-04-19,51.2,Lapsed
136,9730,POL-00000136,Health,2025-06-30,2027-10-17,179.65,Lapsed
137,7439,POL-00000137,Auto,2025-06-21,2027-12-14,404.52,Cancelled
138,9664,POL-00000138,Home,2025-06-06,2029-06-25,151.16,Active
139,4353,POL-00000139,Home,2023-10-07,,124.67,Lapsed
140,9750,POL-00000140,Life,2023-08-29,2027-04-14,359.91,Cancelled
141,6595,POL-00000141,Life,2023-05-21,2027-02-25,246.99,Cancelled
142,654,POL-00000142,Health,2023-10-14,2028-03-02,162.67,Active
143,3751,POL-00000143,Auto,2024-02-09,2028-11-15,419.64,Cancelled
144,660,POL-00000144,Home,2023-10-03,2028-05-28,249.0,Lapsed
145,2974,POL-00000145,Health,2023-12-17,2027-09-19,486.07,Lapsed
146,5701,POL-00000146,Health,2023-07-23,2028-04-24,97.07,Active
147,5404,POL-00000147,Health,2024-12-14,2027-07-27,348.16,Lapsed
148,9013,POL-00000148,Auto,2024-03-29,2027-01-02,163.58,Active
149,6623,POL-00000149,Auto,2025-11-15,2029-11-30,257.89,Active
150,3074,POL-00000150,Life,2025-08-28,2029-06-13,331.43,Active
151,3336,POL-00000151,Life,2023-05-04,2025-12-13,247.15,Cancelled
152,7942,POL-00000152,Auto,2025-07-28,,333.51,Active
153,2595,POL-00000153,Life,2026-01-25,2030-03-01,233.6,Active
154,1859,POL-00000154,Health,2024-02-27,2028-10-14,424.46,Lapsed
155,4782,POL-00000155,Life,2024-12-16,2028-08-30,491.11,Active
156,7484,POL-00000156,Home,2023-04-17,2027-08-26,278.71,Active
157,1144,POL-00000157,Life,2024-03-04,2027-07-01,202.94,Cancelled
158,4378,POL-00000158,Auto,2025-07-29,2028-03-31,426.86,Cancelled
159,8023,POL-00000159,Home,2023-10-11,2027-06-28,205.31,Cancelled
160,8904,POL-00000160,Health,2025-01-25,2027-11-15,441.32,Cancelled
161,3913,POL-00000161,Health,2023-07-10,2026-10-28,69.64,Cancelled
162,7750,POL-00000162,Health,2024-11-29,2029-08-19,406.58,Cancelled
163,2493,POL-00000163,Health,2024-02-15,2025-10-30,276.03,Cancelled
164,5440,POL-00000164,Auto,2025-09-24,2029-03-13,94.87,Lapsed
165,252,POL-00000165,Home,2023-04-23,2027-12-23,486.48,Active
166,7693,POL-00000166,Life,2024-07-29,2029-06-16,228.87,Active
167,5384,POL-00000167,Health,2024-06-27,2028-12-31,373.42,Lapsed
168,8865,POL-00000168,Auto,2024-02-08,2026-06-02,334.02,Lapsed
169,3728,POL-00000169,Auto,2025-12-22,2027-07-11,392.17,Cancelled
170,1647,POL-00000170,Health,2026-03-12,,184.76,Active
171,754,POL-00000171,Life,2025-09-01,2028-04-23,211.31,Lapsed
172,2386,POL-00000172,Home,2024-10-25,2028-12-27,356.81,Active
173,2786,POL-00000173,Home,2024-08-17,,441.88,Cancelled
174,3946,POL-00000174,Health,2024-09-02,2026-06-22,154.48,Cancelled
175,4162,POL-00000175,Health,2023-09-03,2024-09-21,454.51,Lapsed
176,4713,POL-00000176,Home,2024-06-05,,475.36,Cancelled
177,4902,POL-00000177,Health,2023-12-27,2027-07-19,430.39,Active
178,6303,POL-00000178,Health,2024-10-19,,221.61,Lapsed
179,9418,POL-00000179,Life,2025-04-30,2027-12-25,59.87,Cancelled
180,6485,POL-00000180,Life,2023-06-30,,439.28,Cancelled
181,804,POL-00000181,Health,2024-08-01,2027-03-10,399.08,Active
182,9947,POL-00000182,Life,2023-04-28,2025-05-21,329.4,Cancelled
183,2241,POL-00000183,Auto,2025-09-30,2030-05-15,67.74,Lapsed
184,547,POL-00000184,Life,2024-12-04,2026-06-06,459.33,Lapsed
185,6808,POL-00000185,Home,2023-09-11,2027-09-19,444.41,Lapsed
186,8698,POL-00000186,Life,2024-07-02,2026-12-10,461.32,Lapsed
187,4836,POL-00000187,Life,2026-01-20,2029-09-05,483.3,Active
188,3697,POL-00000188,Health,2025-01-01,2029-02-15,214.6,Lapsed
189,229,POL-00000189,Life,2025-05-18,2028-12-04,215.86,Cancelled
190,4296,POL-00000190,Health,2023-08-03,2026-09-01,98.76,Active
191,7725,POL-00000191,Auto,2025-09-29,2029-11-21,197.6,Cancelled
192,3627,POL-00000192,Auto,2025-01-06,2028-08-13,459.22,Lapsed
193,6690,POL-00000193,Auto,2023-06-27,,475.82,Lapsed
194,8072,POL-00000194,Auto,2023-11-06,,449.27,Active
195,6368,POL-00000195,Health,2025-12-27,2030-11-22,475.69,Lapsed
196,9623,POL-00000196,Home,2024-11-10,2029-07-13,94.56,Lapsed
197,6687,POL-00000197,Life,2024-07-22,,216.74,Lapsed
198,7286,POL-00000198,Home,2024-05-07,2025-11-26,491.42,Lapsed
199,8921,POL-00000199,Life,2025-03-31,,174.15,Active
200,7451,POL-00000200,Auto,2023-09-22,2028-04-27,337.77,Active
201,829,POL-00000201,Life,2023-10-16,2025-06-29,404.14,Active
202,1125,POL-00000202,Home,2024-01-27,2026-05-18,197.85,Active
203,9765,POL-00000203,Auto,2023-04-05,2025-01-25,494.39,Cancelled
204,4107,POL-00000204,Home,2023-10-24,,439.9,Active
205,244,POL-00000205,Life,2025-03-02,2027-07-02,314.98,Active
206,2855,POL-00000206,Life,2024-01-19,,383.77,Cancelled
207,1863,POL-00000207,Auto,2024-04-13,2027-04-24,280.96,Active
208,7406,POL-00000208,Home,2025-02-12,2026-05-11,377.26,Cancelled
209,8544,POL-00000209,Life,2026-01-07,2027-03-11,77.37,Lapsed
210,6581,POL-00000210,Health,2024-09-05,2028-06-05,370.58,Lapsed
211,1205,POL-00000211,Auto,2023-09-04,2025-07-03,79.56,Lapsed
212,9591,POL-00000212,Life,2026-02-12,2030-06-19,288.75,Lapsed
213,8283,POL-00000213,Health,2023-07-24,,365.8,Cancelled
214,9034,POL-00000214,Home,2026-01-20,2028-05-01,236.22,Lapsed
215,6533,POL-00000215,Health,2024-01-13,2026-10-14,242.04,Cancelled
216,4177,POL-00000216,Life,2024-07-04,2029-05-10,465.34,Active
217,1495,POL-00000217,Auto,2026-01-19,,93.45,Cancelled
218,6106,POL-00000218,Home,2023-12-10,2028-03-24,480.48,Cancelled
219,5401,POL-00000219,Auto,2023-06-16,2028-03-08,473.51,Lapsed
220,843,POL-00000220,Life,2023-11-01,2026-10-21,96.62,Cancelled
221,3486,POL-00000221,Home,2025-03-14,2027-06-16,431.27,Lapsed
222,9114,POL-00000222,Life,2025-05-01,,175.36,Active
223,7031,POL-00000223,Auto,2023-06-17,2028-02-23,423.26,Lapsed
224,475,POL-00000224,Home,2025-07-05,2028-03-28,464.69,Lapsed
225,101,POL-00000225,Home,2024-10-07,2028-12-09,345.81,Active
226,2325,POL-00000226,Auto,2024-09-10,,288.72,Lapsed
227,6879,POL-00000227,Health,2023-08-13,2026-09-08,190.24,Lapsed
228,9300,POL-00000228,Auto,2025-03-16,2027-01-28,120.83,Cancelled
229,816,POL-00000229,Auto,2025-03-14,2029-11-28,240.81,Cancelled
230,7243,POL-00000230,Health,2025-06-30,2029-05-14,101.22,Lapsed
231,1817,POL-00000231,Life,2024-12-21,2029-04-18,268.98,Cancelled
232,5054,POL-00000232,Auto,2024-05-03,2028-09-11,74.65,Active
233,4939,POL-00000233,Home,2024-07-19,2026-12-24,180.25,Active
234,127,POL-00000234,Health,2024-04-09,2026-04-03,108.13,Cancelled
235,3771,POL-00000235,Life,2024-01-23,,437.79,Active
236,7148,POL-00000236,Auto,2023-12-14,2025-05-21,437.95,Cancelled
237,7034,POL-00000237,Health,2025-05-16,2028-09-17,180.28,Lapsed
238,342,POL-00000238,Life,2023-07-26,,476.43,Lapsed
239,5929,POL-00000239,Auto,2025-01-27,2026-08-31,159.49,Cancelled
240,6561,POL-00000240,Auto,2026-01-05,2028-10-01,385.61,Active
241,5457,POL-00000241,Home,2025-05-18,,334.95,Cancelled
242,8356,POL-00000242,Home,2025-03-14,2028-02-27,207.99,Cancelled
243,2420,POL-00000243,Home,2024-09-10,,165.19,Active
244,9870,POL-00000244,Home,2025-02-07,2029-10-11,83.91,Cancelled
245,8096,POL-00000245,Health,2024-05-23,2028-08-21,252.01,Cancelled
246,5296,POL-00000246,Life,2024-10-14,,80.73,Lapsed
247,4962,POL-00000247,Life,2024-10-04,2027-09-24,278.3,Lapsed
248,7566,POL-00000248,Health,2025-02-04,,215.93,Lapsed
249,1258,POL-00000249,Auto,2023-06-15,2027-04-18,223.02,Cancelled
250,9082,POL-00000250,Auto,2024-03-25,2028-06-07,343.33,Lapsed
251,9913,POL-00000251,Health,2023-08-07,2024-12-10,252.74,Lapsed
252,1382,POL-00000252,Home,2024-09-28,,368.43,Lapsed
253,8587,POL-00000253,Home,2023-07-07,2026-02-05,224.34,Lapsed
254,9796,POL-00000254,Auto,2024-03-29,2028-11-13,200.59,Lapsed
255,1549,POL-00000255,Health,2024-02-03,2028-10-08,483.98,Cancelled
256,2464,POL-00000256,Life,2023-12-03,,348.63,Lapsed
257,5083,POL-00000257,Health,2025-08-01,,368.98,Active
258,5073,POL-00000258,Health,2025-04-23,2028-02-24,415.93,Cancelled
259,8625,POL-00000259,Auto,2023-10-13,2027-02-26,278.82,Active
260,5941,POL-00000260,Life,2025-04-19,,146.39,Lapsed
261,3146,POL-00000261,Home,2023-08-25,2025-07-07,84.72,Active
262,8318,POL-00000262,Auto,2024-09-18,2029-03-06,108.97,Lapsed
263,2528,POL-00000263,Home,2025-03-29,,361.78,Cancelled
264,2713,POL-00000264,Health,2023-07-09,,213.93,Cancelled
265,3892,POL-00000265,Health,2025-10-13,2029-04-19,155.3,Active
266,5071,POL-00000266,Health,2024-09-07,2026-10-09,215.53,Cancelled
267,7219,POL-00000267,Health,2025-11-21,2029-01-11,276.31,Lapsed
268,2656,POL-00000268,Home,2023-05-23,2025-03-01,442.85,Active
269,7874,POL-00000269,Life,2024-12-05,2026-07-03,370.13,Cancelled
270,2043,POL-00000270,Life,2023-09-09,,122.14,Lapsed
271,8411,POL-00000271,Home,2026-02-09,2027-08-15,475.89,Active
272,7392,POL-00000272,Life,2025-06-03,2028-09-29,73.97,Cancelled
273,6127,POL-00000273,Home,2025-04-03,2026-09-17,218.71,Active
274,5222,POL-00000274,Auto,2025-01-26,2029-09-18,200.88,Active
275,2255,POL-00000275,Auto,2024-12-10,2028-08-03,363.23,Active
276,7686,POL-00000276,Health,2025-07-05,2026-12-14,58.55,Active
277,2450,POL-00000277,Health,2023-04-01,,179.65,Lapsed
278,1997,POL-00000278,Auto,2024-08-27,2029-03-27,407.25,Lapsed
279,1030,POL-00000279,Auto,2026-01-06,2029-10-25,318.53,Active
280,8444,POL-00000280,Home,2024-08-21,2027-04-09,243.16,Cancelled
281,5781,POL-00000281,Home,2024-12-05,2026-12-23,348.97,Active
282,8577,POL-00000282,Life,2023-09-28,,286.73,Cancelled
283,8317,POL-00000283,Auto,2025-08-17,2029-04-05,69.59,Lapsed
284,6117,POL-00000284,Life,2025-08-26,2028-08-26,404.83,Lapsed
285,3951,POL-00000285,Auto,2023-12-01,2026-10-11,110.03,Lapsed
286,8946,POL-00000286,Life,2025-05-17,2027-05-10,423.67,Cancelled
287,7613,POL-00000287,Health,2024-01-23,2025-10-25,78.4,Lapsed
288,606,POL-00000288,Life,2023-09-14,2025-10-26,448.61,Lapsed
289,5081,POL-00000289,Health,2025-04-04,2029-04-20,263.03,Active
290,3132,POL-00000290,Life,2025-10-05,2027-01-10,439.61,Lapsed
291,4477,POL-00000291,Auto,2024-01-31,2027-07-13,450.27,Cancelled
292,7205,POL-00000292,Health,2025-06-10,2027-06-27,273.29,Lapsed
293,6019,POL-00000293,Life,2024-05-26,2027-10-12,85.52,Cancelled
294,2957,POL-00000294,Life,2024-02-06,2025-07-18,197.56,Lapsed
295,5022,POL-00000295,Health,2024-12-26,2028-05-16,124.99,Lapsed
296,5760,POL-00000296,Health,2025-10-09,,441.52,Lapsed
297,7127,POL-00000297,Life,2023-10-27,2025-02-20,83.77,Cancelled
298,6656,POL-00000298,Life,2024-02-15,2028-12-06,121.99,Active
299,2340,POL-00000299,Health,2024-02-26,,80.26,Cancelled
300,6002,POL-00000300,Life,2023-05-11,2027-07-15,64.57,Active
301,7372,POL-00000301,Life,2023-08-05,2025-01-08,308.26,Cancelled
302,6013,POL-00000302,Health,2025-11-20,2028-06-12,162.33,Active
303,425,POL-00000303,Home,2024-07-27,2027-09-27,461.09,Active
304,4289,POL-00000304,Life,2025-08-15,2027-10-28,498.36,Lapsed
305,8048,POL-00000305,Home,2025-01-06,,433.77,Lapsed
306,2829,POL-00000306,Health,2023-09-13,2028-07-09,485.4,Lapsed
307,5693,POL-00000307,Auto,2024-11-12,2027-06-29,451.1,Active
308,2853,POL-00000308,Life,2024-09-30,2026-06-05,493.31,Active
309,3879,POL-00000309,Health,2024-01-26,,299.31,Lapsed
310,7658,POL-00000310,Home,2023-05-27,2024-11-18,79.59,Lapsed
311,7843,POL-00000311,Health,2025-08-16,2029-11-05,83.19,Lapsed
312,1216,POL-00000312,Health,2025-10-21,2029-09-14,205.03,Cancelled
313,9631,POL-00000313,Home,2025-10-28,2027-07-19,244.68,Active
314,2035,POL-00000314,Home,2025-03-29,2027-02-23,195.2,Cancelled
315,3695,POL-00000315,Life,2026-01-23,2029-12-20,452.72,Active
316,4106,POL-00000316,Home,2025-02-18,2029-03-22,173.5,Cancelled
317,4962,POL-00000317,Auto,2025-11-12,2027-10-23,316.31,Cancelled
318,2527,POL-00000318,Home,2024-12-05,2029-04-27,201.93,Cancelled
319,675,POL-00000319,Auto,2023-04-19,,476.85,Cancelled
320,4337,POL-00000320,Home,2024-04-19,2027-08-20,328.15,Active
321,8160,POL-00000321,Life,2025-03-04,2027-11-12,267.33,Cancelled
322,6654,POL-00000322,Life,2023-08-12,2028-06-21,76.96,Lapsed
323,6810,POL-00000323,Health,2025-07-28,2028-06-23,323.0,Lapsed
324,5232,POL-00000324,Life,2024-04-19,2026-01-11,392.3,Cancelled
325,9203,POL-00000325,Auto,2024-02-01,2027-09-13,105.13,Lapsed
326,4062,POL-00000326,Home,2024-02-02,,180.6,Lapsed
327,6851,POL-00000327,Home,2023-05-06,2025-03-28,416.07,Cancelled
328,5124,POL-00000328,Home,2024-03-07,2027-12-22,498.19,Lapsed
329,8172,POL-00000329,Life,2024-05-21,2025-11-21,475.35,Cancelled
330,7492,POL-00000330,Home,2025-03-11,2028-03-02,71.9,Lapsed
331,8109,POL-00000331,Health,2024-06-19,2025-07-05,431.23,Lapsed
332,2195,POL-00000332,Life,2024-02-14,2027-05-19,214.67,Lapsed
333,839,POL-00000333,Home,2024-05-11,2026-12-23,83.09,Cancelled
334,7379,POL-00000334,Life,2023-04-04,2027-10-01,356.18,Active
335,2109,POL-00000335,Auto,2023-10-27,2026-09-20,301.02,Lapsed
336,2364,POL-00000336,Home,2025-06-28,2028-09-27,275.04,Active
337,638,POL-00000337,Home,2024-12-30,2028-08-26,283.7,Active
338,9933,POL-00000338,Home,2025-07-03,2029-12-09,193.34,Lapsed
339,4903,POL-00000339,Life,2025-11-17,2029-09-25,289.55,Cancelled
340,9223,POL-00000340,Life,2026-02-09,2027-03-15,215.76,Cancelled
341,1796,POL-00000341,Health,2025-02-18,2029-12-28,333.17,Cancelled
342,7776,POL-00000342,Life,2024-10-08,2029-01-04,309.94,Cancelled
343,842,POL-00000343,Health,2025-12-21,,333.06,Cancelled
344,6230,POL-00000344,Home,2024-06-25,2026-11-03,64.21,Cancelled
345,1801,POL-00000345,Home,2024-06-06,,191.16,Active
346,6766,POL-00000346,Home,2026-02-02,2030-07-08,464.23,Cancelled
347,1021,POL-00000347,Home,2024-10-07,2028-11-28,196.27,Cancelled
348,7838,POL-00000348,Health,2023-12-05,2025-11-23,256.85,Cancelled
349,5609,POL-00000349,Life,2024-04-25,2029-02-17,339.49,Cancelled
350,4332,POL-00000350,Health,2025-09-01,,160.93,Cancelled
351,4891,POL-00000351,Home,2023-04-11,2025-12-10,397.03,Cancelled
352,3397,POL-00000352,Health,2026-03-20,2029-03-03,302.22,Cancelled
353,4481,POL-00000353,Life,2023-05-13,,354.48,Lapsed
354,6465,POL-00000354,Life,2024-06-02,2026-03-28,180.7,Lapsed
355,1295,POL-00000355,Life,2023-05-01,2028-01-03,165.4,Lapsed
356,3506,POL-00000356,Home,2025-01-29,2027-08-07,469.86,Cancelled
357,4451,POL-00000357,Home,2025-04-06,,383.4,Active
358,3973,POL-00000358,Auto,2023-12-25,2027-12-16,151.55,Active
359,861,POL-00000359,Auto,2023-08-06,2027-03-30,95.25,Active
360,85,POL-00000360,Home,2024-11-18,2028-07-19,264.85,Active
361,4707,POL-00000361,Life,2025-02-11,2026-06-12,458.57,Active
362,9407,POL-00000362,Home,2025-10-09,2026-12-24,460.95,Active
363,6847,POL-00000363,Home,2024-10-10,2025-12-23,498.73,Lapsed
364,8117,POL-00000364,Home,2025-10-26,2028-06-09,444.53,Active
365,4889,POL-00000365,Auto,2023-10-02,2026-08-18,178.05,Cancelled
366,8902,POL-00000366,Health,2024-11-26,2026-08-27,432.98,Lapsed
367,4471,POL-00000367,Home,2024-10-09,2027-08-17,123.12,Lapsed
368,4216,POL-00000368,Home,2025-11-22,,201.7,Lapsed
369,9303,POL-00000369,Home,2023-11-26,,435.27,Lapsed
370,7008,POL-00000370,Life,2024-05-12,,351.17,Active
371,2304,POL-00000371,Health,2025-06-28,2027-11-18,53.07,Lapsed
372,3859,POL-00000372,Health,2026-01-02,2028-11-07,185.88,Cancelled
373,9387,POL-00000373,Auto,2025-10-04,2028-10-09,361.75,Active
374,1937,POL-00000374,Health,2023-06-15,2026-09-22,358.73,Cancelled
375,5096,POL-00000375,Auto,2024-01-21,2026-09-16,215.39,Active
